"category","full_name","prize_year","age"
"Medicine","Julius Wagner-Jauregg",1927,70
"Peace","Ferdinand Buisson",1927,86
"Peace","Ludwig Quidde",1927,69
"Physics","Arthur Holly Compton",1927,35
"Physics","Charles Thomson Rees Wilson",1927,58
"Chemistry","Adolf Otto Reinhold Windaus",1928,52
"Literature","Sigrid Undset",1928,46
"Medicine","Charles Jules Henri Nicolle",1928,62
"Physics","Owen Willans Richardson",1928,49
"Chemistry","Arthur Harden",1929,64
"Chemistry","Hans Karl August Simon von Euler-Chelpin",1929,56
"Literature","Thomas Mann",1929,54
"Medicine","Christiaan Eijkman",1929,71
"Medicine","Sir Frederick Gowland Hopkins",1929,68
"Peace","Frank Billings Kellogg",1929,73
"Physics","Prince Louis-Victor Pierre Raymond de Broglie",1929,37
"Chemistry","Hans Fischer",1930,49
"Literature","Sinclair Lewis",1930,45
"Medicine","Karl Landsteiner",1930,62
"Peace","Lars Olof Jonathan (Nathan) Söderblom",1930,64
"Physics","Sir Chandrasekhara Venkata Raman",1930,42
"Chemistry","Carl Bosch",1931,57
"Chemistry","Carl Bosch",1931,57
"Chemistry","Friedrich Bergius",1931,47
"Chemistry","Friedrich Bergius",1931,47
"Literature","Erik Axel Karlfeldt",1931,67
"Medicine","Otto Heinrich Warburg",1931,48
"Peace","Jane Addams",1931,71
"Peace","Nicholas Murray Butler",1931,69
"Chemistry","Irving Langmuir",1932,51
"Literature","John Galsworthy",1932,65
"Medicine","Sir Charles Scott Sherrington",1932,75
"Medicine","Edgar Douglas Adrian",1932,43
"Physics","Werner Karl Heisenberg",1932,31
"Literature","Ivan Alekseyevich Bunin",1933,63
"Medicine","Thomas Hunt Morgan",1933,67
"Peace","Sir Norman Angell (Ralph Lane)",1933,61
"Physics","Erwin Schrödinger",1933,46
"Physics","Paul Adrien Maurice Dirac",1933,31
"Chemistry","Harold Clayton Urey",1934,41
"Literature","Luigi Pirandello",1934,67
"Medicine","George Hoyt Whipple",1934,56
"Medicine","George Richards Minot",1934,49
"Medicine","William Parry Murphy",1934,42
"Medicine","William Parry Murphy",1934,42
"Peace","Arthur Henderson",1934,71
"Chemistry","Frédéric Joliot",1935,35
"Chemistry","Irène Joliot-Curie",1935,38
"Medicine","Hans Spemann",1935,66
"Peace","Carl von Ossietzky",1935,46
"Physics","James Chadwick",1935,44
"Chemistry","Petrus (Peter) Josephus Wilhelmus Debye",1936,52
"Chemistry","Petrus (Peter) Josephus Wilhelmus Debye",1936,52
"Literature","Eugene Gladstone O'Neill",1936,48
"Medicine","Sir Henry Hallett Dale",1936,61
"Medicine","Otto Loewi",1936,63
"Peace","Carlos Saavedra Lamas",1936,58
"Physics","Victor Franz Hess",1936,53
"Physics","Carl David Anderson",1936,31
"Chemistry","Walter Norman Haworth",1937,54
"Chemistry","Paul Karrer",1937,48
"Literature","Roger Martin du Gard",1937,56
"Medicine","Albert von Szent-Györgyi Nagyrápolt",1937,44
"Peace","Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",1937,73
"Physics","Clinton Joseph Davisson",1937,56
"Physics","George Paget Thomson",1937,45
"Chemistry","Richard Kuhn",1938,38
"Chemistry","Richard Kuhn",1938,38
"Literature","Pearl Buck",1938,46
"Medicine","Corneille Jean François Heymans",1938,46
"Peace","Office international Nansen pour les Réfugiés (Nansen International Office for Refugees)",1938,NA
"Physics","Enrico Fermi",1938,37
"Chemistry","Adolf Friedrich Johann Butenandt",1939,36
"Chemistry","Adolf Friedrich Johann Butenandt",1939,36
"Chemistry","Leopold Ruzicka",1939,52
"Literature","Frans Eemil Sillanpää",1939,51
"Medicine","Gerhard Domagk",1939,44
"Physics","Ernest Orlando Lawrence",1939,38
"Chemistry","George de Hevesy",1943,58
"Medicine","Henrik Carl Peter Dam",1943,48
"Medicine","Edward Adelbert Doisy",1943,50
"Physics","Otto Stern",1943,55
"Chemistry","Otto Hahn",1944,65
"Literature","Johannes Vilhelm Jensen",1944,71
"Medicine","Joseph Erlanger",1944,70
"Medicine","Herbert Spencer Gasser",1944,56
"Peace","Comité international de la Croix Rouge (International Committee of the Red Cross)",1944,NA
"Physics","Isidor Isaac Rabi",1944,46
"Chemistry","Artturi Ilmari Virtanen",1945,50
"Literature","Gabriela Mistral",1945,56
"Medicine","Sir Alexander Fleming",1945,64
"Medicine","Ernst Boris Chain",1945,39
"Medicine","Sir Howard Walter Florey",1945,47
"Peace","Cordell Hull",1945,74
"Physics","Wolfgang Pauli",1945,45
"Chemistry","James Batcheller Sumner",1946,59
"Chemistry","John Howard Northrop",1946,55
"Chemistry","Wendell Meredith Stanley",1946,42
"Literature","Hermann Hesse",1946,69
"Medicine","Hermann Joseph Muller",1946,56
"Peace","Emily Greene Balch",1946,79
"Peace","John Raleigh Mott",1946,81
"Physics","Percy Williams Bridgman",1946,64
"Chemistry","Sir Robert Robinson",1947,61
"Literature","André Paul Guillaume Gide",1947,78
"Medicine","Carl Ferdinand Cori",1947,51
"Medicine","Gerty Theresa Cori, née Radnitz",1947,51
"Medicine","Bernardo Alberto Houssay",1947,60
"Peace","Friends Service Council (The Quakers)",1947,NA
"Peace","American Friends Service Committee (The Quakers)",1947,NA
"Physics","Sir Edward Victor Appleton",1947,55
"Chemistry","Arne Wilhelm Kaurin Tiselius",1948,46
"Literature","Thomas Stearns Eliot",1948,60
"Medicine","Paul Hermann Müller",1948,49
"Physics","Patrick Maynard Stuart Blackett",1948,51
"Chemistry","William Francis Giauque",1949,54
"Literature","William Faulkner",1949,52
"Medicine","Walter Rudolf Hess",1949,68
"Medicine","Antonio Caetano de Abreu Freire Egas Moniz",1949,75
"Medicine","Antonio Caetano de Abreu Freire Egas Moniz",1949,75
"Peace","Lord (John) Boyd Orr of Brechin",1949,69
"Physics","Hideki Yukawa",1949,42
"Physics","Hideki Yukawa",1949,42
"Chemistry","Otto Paul Hermann Diels",1950,74
"Chemistry","Kurt Alder",1950,48
"Literature","Earl (Bertrand Arthur William) Russell",1950,78
"Medicine","Edward Calvin Kendall",1950,64
"Medicine","Tadeus Reichstein",1950,53
"Medicine","Philip Showalter Hench",1950,54
"Peace","Ralph Bunche",1950,46
"Physics","Cecil Frank Powell",1950,47
"Chemistry","Edwin Mattison McMillan",1951,44
"Chemistry","Glenn Theodore Seaborg",1951,39
"Literature","Pär Fabian Lagerkvist",1951,60
"Medicine","Max Theiler",1951,52
"Peace","Léon Jouhaux",1951,72
"Physics","Sir John Douglas Cockcroft",1951,54
"Physics","Ernest Thomas Sinton Walton",1951,48
"Chemistry","Archer John Porter Martin",1952,42
"Chemistry","Richard Laurence Millington Synge",1952,38
"Literature","François Mauriac",1952,67
"Medicine","Selman Abraham Waksman",1952,64
"Peace","Albert Schweitzer",1952,77
"Physics","Felix Bloch",1952,47
"Physics","Edward Mills Purcell",1952,40
"Chemistry","Hermann Staudinger",1953,72
"Chemistry","Hermann Staudinger",1953,72
"Literature","Sir Winston Leonard Spencer Churchill",1953,79
"Medicine","Hans Adolf Krebs",1953,53
"Medicine","Fritz Albert Lipmann",1953,54
"Medicine","Fritz Albert Lipmann",1953,54
"Peace","George Catlett Marshall",1953,73
"Physics","Frits Zernike",1953,65
"Chemistry","Linus Carl Pauling",1954,53
"Literature","Ernest Miller Hemingway",1954,55
"Medicine","John Franklin Enders",1954,57
"Medicine","John Franklin Enders",1954,57
"Medicine","Thomas Huckle Weller",1954,39
"Medicine","Frederick Chapman Robbins",1954,38
"Peace","Office of the United Nations High Commissioner for Refugees (UNHCR)",1954,NA
"Physics","Max Born",1954,72
"Physics","Walther Bothe",1954,63
"Physics","Walther Bothe",1954,63
"Chemistry","Vincent du Vigneaud",1955,54
"Literature","Halldór Kiljan Laxness",1955,53
"Medicine","Axel Hugo Theodor Theorell",1955,52
"Physics","Willis Eugene Lamb",1955,42
"Physics","Polykarp Kusch",1955,44
"Chemistry","Sir Cyril Norman Hinshelwood",1956,59
"Chemistry","Nikolay Nikolaevich Semenov",1956,60
"Literature","Juan Ramón Jiménez",1956,75
"Medicine","André Frédéric Cournand",1956,61
"Medicine","Werner Forssmann",1956,52
"Medicine","Werner Forssmann",1956,52
"Medicine","Dickinson W. Richards",1956,61
"Physics","William Bradford Shockley",1956,46
"Physics","John Bardeen",1956,48
"Physics","Walter Houser Brattain",1956,54
"Chemistry","Lord (Alexander R.) Todd",1957,50
"Literature","Albert Camus",1957,44
"Medicine","Daniel Bovet",1957,50
"Peace","Lester Bowles Pearson",1957,60
"Physics","Chen Ning Yang",1957,35
"Physics","Tsung-Dao (T.D.) Lee",1957,31
"Chemistry","Frederick Sanger",1958,40
"Literature","Boris Leonidovich Pasternak",1958,68
"Medicine","George Wells Beadle",1958,55
"Medicine","Edward Lawrie Tatum",1958,49
"Medicine","Joshua Lederberg",1958,33
"Peace","Georges Pire",1958,48
"Physics","Pavel Alekseyevich Cherenkov",1958,54
"Physics","Igor Yevgenyevich Tamm",1958,63
"Physics","Igor Yevgenyevich Tamm",1958,63
"Physics","Il´ja Mikhailovich Frank",1958,50
"Physics","Il´ja Mikhailovich Frank",1958,50
"Chemistry","Jaroslav Heyrovsky",1959,69
"Literature","Salvatore Quasimodo",1959,58
"Medicine","Severo Ochoa",1959,54
"Medicine","Arthur Kornberg",1959,41
"Peace","Philip J. Noel-Baker",1959,70
"Physics","Emilio Gino Segrè",1959,54
"Physics","Owen Chamberlain",1959,39
"Chemistry","Willard Frank Libby",1960,52
"Literature","Saint-John Perse",1960,73
"Medicine","Sir Frank Macfarlane Burnet",1960,61
"Medicine","Peter Brian Medawar",1960,45
"Peace","Albert John Lutuli",1960,NA
"Physics","Donald Arthur Glaser",1960,34
"Chemistry","Melvin Calvin",1961,50
"Literature","Ivo Andric",1961,69
"Medicine","Georg von Békésy",1961,62
"Peace","Dag Hjalmar Agne Carl Hammarskjöld",1961,56
"Physics","Robert Hofstadter",1961,46
"Physics","Rudolf Ludwig Mössbauer",1961,32
"Physics","Rudolf Ludwig Mössbauer",1961,32
"Chemistry","Max Ferdinand Perutz",1962,48
"Chemistry","John Cowdery Kendrew",1962,45
"Literature","John Steinbeck",1962,60
"Medicine","Francis Harry Compton Crick",1962,46
"Medicine","James Dewey Watson",1962,34
"Medicine","Maurice Hugh Frederick Wilkins",1962,46
"Peace","Linus Carl Pauling",1962,61
"Physics","Lev Davidovich Landau",1962,54
"Chemistry","Karl Ziegler",1963,65
"Chemistry","Giulio Natta",1963,60
"Literature","Giorgos Seferis",1963,63
"Medicine","Sir John Carew Eccles",1963,60
"Medicine","Alan Lloyd Hodgkin",1963,49
"Medicine","Andrew Fielding Huxley",1963,46
"Peace","Comité international de la Croix Rouge (International Committee of the Red Cross)",1963,NA
"Peace","Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies)",1963,NA
"Physics","Eugene Paul Wigner",1963,61
"Physics","Maria Goeppert Mayer",1963,57
"Physics","J. Hans D. Jensen",1963,56
"Chemistry","Dorothy Crowfoot Hodgkin",1964,54
"Literature","Jean-Paul Sartre",1964,59
"Medicine","Konrad Bloch",1964,52
"Medicine","Feodor Lynen",1964,53
"Peace","Martin Luther King Jr.",1964,35
"Physics","Charles Hard Townes",1964,49
"Physics","Nicolay Gennadiyevich Basov",1964,42
"Physics","Aleksandr Mikhailovich Prokhorov",1964,48
"Chemistry","Robert Burns Woodward",1965,48
"Literature","Mikhail Aleksandrovich Sholokhov",1965,60
"Medicine","François Jacob",1965,45
"Medicine","André Lwoff",1965,63
"Medicine","Jacques Monod",1965,55
"Peace","United Nations Children's Fund (UNICEF)",1965,NA
"Physics","Sin-Itiro Tomonaga",1965,59
"Physics","Julian Schwinger",1965,47
"Physics","Richard P. Feynman",1965,47
"Chemistry","Robert S. Mulliken",1966,70
"Literature","Shmuel Yosef Agnon",1966,78
"Literature","Nelly Sachs",1966,75
"Medicine","Peyton Rous",1966,87
"Medicine","Charles Brenton Huggins",1966,65
"Physics","Alfred Kastler",1966,64
"Chemistry","Manfred Eigen",1967,40
"Chemistry","Ronald George Wreyford Norrish",1967,70
"Chemistry","George Porter",1967,47
"Literature","Miguel Angel Asturias",1967,68
"Medicine","Ragnar Granit",1967,67
"Medicine","Haldan Keffer Hartline",1967,64
"Medicine","George Wald",1967,61
"Physics","Hans Albrecht Bethe",1967,61
"Chemistry","Lars Onsager",1968,65
"Literature","Yasunari Kawabata",1968,69
"Medicine","Robert W. Holley",1968,46
"Medicine","Har Gobind Khorana",1968,46
"Medicine","Marshall W. Nirenberg",1968,41
"Peace","René Cassin",1968,81
"Physics","Luis Walter Alvarez",1968,57
"Chemistry","Derek H. R. Barton",1969,51
"Chemistry","Odd Hassel",1969,72
